,target_image,option
80565,./playground/data/flickr30k/flickr30k_images/3655176735.jpg,AN older woman appears to read from a children 's book in an indoor setting  while a seated gentleman in a service uniform looks on .
152730,./playground/data/flickr30k/flickr30k_images/7669392800.jpg,Numerous bicyclists wearing bicyclist apparel  helmets  goggles  and gloves racing fiercely down a paved road despite the rain .
103545,./playground/data/flickr30k/flickr30k_images/4546029322.jpg,In this picture we see multiple people crossing a courtyard with a line of traffic cones dissecting it .
3120,./playground/data/flickr30k/flickr30k_images/120764850.jpg,A baby on the floor laughing at an older another child .
48360,./playground/data/flickr30k/flickr30k_images/2912210904.jpg,A man loads trees onto a cart on the side of a road .
152525,./playground/data/flickr30k/flickr30k_images/7645700076.jpg,cyclists lean into a turn  behind them is a barricade and behind that are people watching the cycling race .
131215,./playground/data/flickr30k/flickr30k_images/512163695.jpg,A male in gray pants with a blue shirt and backpack walking down a sidewalk in a neighborhood .
106190,./playground/data/flickr30k/flickr30k_images/4604111022.jpg,An elderly man in a white and gray striped shirt eating food .
24905,./playground/data/flickr30k/flickr30k_images/2326730558.jpg,A brown dog kisses the ear of a white dog in the snow .
48105,./playground/data/flickr30k/flickr30k_images/2905948395.jpg,A man does bike jumps in the dark in an empty pool .
157800,./playground/data/flickr30k/flickr30k_images/905022127.jpg,A man in a baseball cap is standing on a rocky beach at sunset with a fishing pole in his hands and the sun setting behind him .
16910,./playground/data/flickr30k/flickr30k_images/2095949968.jpg,A toddler  dressed in white  is intently looking at the glass door of a front loading washing machine .
102615,./playground/data/flickr30k/flickr30k_images/452385803.jpg,A man in a blue shirt watches a man in a black shirt and jeans lean against a shovel that 's embedded in a patch of dirt in a garden .
104065,./playground/data/flickr30k/flickr30k_images/4555514125.jpg,A man dressed in all black is pushing a blue colored easy chair down a busy street .
104410,./playground/data/flickr30k/flickr30k_images/4561852553.jpg,Three men  all wearing safety colors  are working with safety cones and a piece of construction equipment near a busy road .
57100,./playground/data/flickr30k/flickr30k_images/3131288444.jpg,A father sitting on a couch while holding his baby daughter and his other daughter is smiling at the camera .
42785,./playground/data/flickr30k/flickr30k_images/2770438285.jpg,A young boy in a blue shirt holding a toy car is pointing out something on a warty tree .
157375,./playground/data/flickr30k/flickr30k_images/871290666.jpg,There is an old man sitting on the edge of a concrete pillar wearing a hat .
118040,./playground/data/flickr30k/flickr30k_images/4803245860.jpg,A woman walking on a sidewalk in front of three young men sitting on some stairs .
80945,./playground/data/flickr30k/flickr30k_images/3665441862.jpg,A caucasian toddler in a pink hat has her hands on top of a low chain link fence and is trying to climb it .
23495,./playground/data/flickr30k/flickr30k_images/22926358.jpg,The woman with the tennis racket in her right hand is wearing blue shorts with white stripes and a black and white sleeveless shirt .
1725,./playground/data/flickr30k/flickr30k_images/111285749.jpg,Five men  one wearing a white shirt standing on something  hanging up a picture of a child .
46500,./playground/data/flickr30k/flickr30k_images/2869009633.jpg,Four woman are playing on a beach as a huge ship passes in the background .
62465,./playground/data/flickr30k/flickr30k_images/3250076419.jpg,Three dogs who are brown  white  and black ( respectively ) play with one another in a dirt field .
135940,./playground/data/flickr30k/flickr30k_images/5535626115.jpg,A man wearing colonial clothes is stripping the sides of a log with an odd tool and a makeshift hammer .
14465,./playground/data/flickr30k/flickr30k_images/1975531316.jpg,A dog with a purple leash is held by a woman wearing white shoes .
16990,./playground/data/flickr30k/flickr30k_images/2097697050.jpg,A man wearing glasses  a watch  and a blue shirt laughs with a redheaded young boy in a white blue and green shirt .
102205,./playground/data/flickr30k/flickr30k_images/4512346966.jpg,Two lacrosse players are kneeling down looking at the ground while a man is look down at the ground .
83180,./playground/data/flickr30k/flickr30k_images/3716277216.jpg,Three african american women are dressed in bright orange and brown dresses and headscarves .
42525,./playground/data/flickr30k/flickr30k_images/2763692131.jpg,A man with a gray shirt and black shorts plays tennis in a fenced outdoor area .
110815,./playground/data/flickr30k/flickr30k_images/4686758039.jpg,Two women picnic on the grass in the shade of a large tree on a idyllic sunny day .
83725,./playground/data/flickr30k/flickr30k_images/372770231.jpg,A man wearing a dark colored sweater is smiling while holding a glass of beer .
