,target_image,option,image_rank,is_top10
0,./playground/data/mscoco/val2017/000000179765.jpg,A black Honda motorcycle parked in front of a garage.,8,1
1,./playground/data/mscoco/val2017/000000190236.jpg,An office cubicle with four different types of computers.,1,1
2,./playground/data/mscoco/val2017/000000331352.jpg,A small closed toilet in a cramped space.,45,0
3,./playground/data/mscoco/val2017/000000517069.jpg,Two women waiting at a bench next to a street.,3,1
4,./playground/data/mscoco/val2017/000000182417.jpg,A beautiful dessert waiting to be shared by two people,1,1
5,./playground/data/mscoco/val2017/000000046378.jpg,A cat eating a bird it has caught.,0,1
6,./playground/data/mscoco/val2017/000000093437.jpg,A shot of an elderly man inside a kitchen.,3,1
7,./playground/data/mscoco/val2017/000000172330.jpg,A cat in between two cars in a parking lot.,0,1
8,./playground/data/mscoco/val2017/000000472678.jpg,An office cubicle with multiple computers in it,11,0
9,./playground/data/mscoco/val2017/000000314251.jpg,A parade of motorcycles is going through a group of tall trees.,0,1
10,./playground/data/mscoco/val2017/000000223747.jpg,a man sleeping with his cat next to him,0,1
11,./playground/data/mscoco/val2017/000000109976.jpg,An all white kitchen with an electric stovetop. ,9,1
12,./playground/data/mscoco/val2017/000000012667.jpg,The telephone has a banana where the receiver should be.,0,1
13,./playground/data/mscoco/val2017/000000482917.jpg,"A dog sitting between its masters feet on a footstool watching tv
",0,1
14,./playground/data/mscoco/val2017/000000534605.jpg,Man in motorcycle leathers standing in front of a group of bikes,2,1
15,./playground/data/mscoco/val2017/000000289393.jpg,Set of toy animals sitting in front of a red wooden wagon.,0,1
16,./playground/data/mscoco/val2017/000000561256.jpg,A woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.,0,1
17,./playground/data/mscoco/val2017/000000338325.jpg,A striped plane flying up into the sky as the sun shines behind it.,15,0
18,./playground/data/mscoco/val2017/000000065485.jpg,A dog driving an SUV in an open grass covered field.,0,1
19,./playground/data/mscoco/val2017/000000226662.jpg,A customized motorcycle with more in the background.,3,1
20,./playground/data/mscoco/val2017/000000011511.jpg,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. ,0,1
21,./playground/data/mscoco/val2017/000000221754.jpg,There is very little traffic at this city intersection.,144,0
22,./playground/data/mscoco/val2017/000000249025.jpg,An orange reddish rose in a vase filled with water on top of a table.,0,1
23,./playground/data/mscoco/val2017/000000255965.jpg,A cat pausing as it's picture is taken.,0,1
24,./playground/data/mscoco/val2017/000000051598.jpg,A black trash bag in a restroom next to a sink.,25,0
25,./playground/data/mscoco/val2017/000000445846.jpg,A clean kitchen with the windows white and open.,3,1
26,./playground/data/mscoco/val2017/000000192871.jpg,A glass bowl filled with oranges on a table.,0,1
27,./playground/data/mscoco/val2017/000000365642.jpg,A young attractive woman sitting on a toilette on the side of a street.,0,1
28,./playground/data/mscoco/val2017/000000393569.jpg,A young woman using a laptop computer while sitting on a bunk bed.,1,1
29,./playground/data/mscoco/val2017/000000116479.jpg,An old victorian style bed frame in a bedroom.,5,1
30,./playground/data/mscoco/val2017/000000063740.jpg,Two computers sitting on top of a desk.,42,0
31,./playground/data/mscoco/val2017/000000570736.jpg,A view of a bathroom that is clean.,7,1
32,./playground/data/mscoco/val2017/000000492937.jpg,A close up of a bike brake on a bicycle.,0,1
33,./playground/data/mscoco/val2017/000000117425.jpg,A toddler celebrates his birthday with a cupcake.,0,1
34,./playground/data/mscoco/val2017/000000159977.jpg,A giraffe and a zebra checking each other out.,0,1
35,./playground/data/mscoco/val2017/000000232538.jpg,A yellow and blue train is next to an overhang.,117,0
36,./playground/data/mscoco/val2017/000000177934.jpg,A group of women operating a car wash.,0,1
37,./playground/data/mscoco/val2017/000000096549.jpg,An airplane on the runway either just landed or ready to take off.,56,0
38,./playground/data/mscoco/val2017/000000469192.jpg,A car is parked on dry grass with kites overhead.,1,1
39,./playground/data/mscoco/val2017/000000044652.jpg,A flying plane with smoke trailing behind it.,4,1
40,./playground/data/mscoco/val2017/000000210502.jpg,Part of train car with a door to the rear connected to the car behind it,0,1
41,./playground/data/mscoco/val2017/000000298396.jpg,Kitchen area with counter top space and dining room table. ,85,0
42,./playground/data/mscoco/val2017/000000187513.jpg,A bathroom with a sliding shower door next to a toilet.,11,0
43,./playground/data/mscoco/val2017/000000552883.jpg,"A view of a kitchen with cabinets, a sink and a clothes washer.",27,0
44,./playground/data/mscoco/val2017/000000228214.jpg,A Marine that is looking at his cell phone.,0,1
45,./playground/data/mscoco/val2017/000000453634.jpg,A bathroom with a toilette with it's seat down.,14,0
46,./playground/data/mscoco/val2017/000000201775.jpg,A bathroom with two urinals and a sink.,0,1
47,./playground/data/mscoco/val2017/000000391375.jpg,A girl sitting on a bench in front of a stone wall.,1,1
48,./playground/data/mscoco/val2017/000000557501.jpg,A bathroom is very colorful with blue yellow and red.,0,1
49,./playground/data/mscoco/val2017/000000435880.jpg,A refrigerator next to a red wall in the kitchen. ,0,1
50,./playground/data/mscoco/val2017/000000555050.jpg,"A car driving in an intersection, past a furniture shop. ",0,1
51,./playground/data/mscoco/val2017/000000466085.jpg,A bathroom that has been gutted with the shower basin the only thing left.,0,1
52,./playground/data/mscoco/val2017/000000442009.jpg,a bathroom with a bath tub near windows,0,1
53,./playground/data/mscoco/val2017/000000127987.jpg,A baseball player bobble head next to two computer monitors on a desk.,0,1
54,./playground/data/mscoco/val2017/000000368335.jpg,a brown horse is walking in between two cars,0,1
55,./playground/data/mscoco/val2017/000000423798.jpg,A street at night is lit up by streetlights.,1,1
56,./playground/data/mscoco/val2017/000000140420.jpg,A motorcycle is parked on a dirt road in a forest.,0,1
57,./playground/data/mscoco/val2017/000000204186.jpg,Racers riding four wheelers while a crowd watches.,1,1
58,./playground/data/mscoco/val2017/000000040471.jpg,An older picture of a large kitchen with white appliances.,0,1
59,./playground/data/mscoco/val2017/000000010363.jpg,A gray cat standing on top of a black car.,0,1
60,./playground/data/mscoco/val2017/000000173008.jpg,A man in a tropical print shirt with glasses and long hair is eating a banana.,0,1
61,./playground/data/mscoco/val2017/000000452793.jpg,A kitchen with a granite counter top and faucet.,17,0
62,./playground/data/mscoco/val2017/000000456865.jpg,An airplane just landed on the runway ,12,0
63,./playground/data/mscoco/val2017/000000504711.jpg,A fork rests on a plate next to a piece of cake.,4,1
64,./playground/data/mscoco/val2017/000000288584.jpg,A person dressed as a giraffe carrying a bullhorn.,0,1
65,./playground/data/mscoco/val2017/000000551304.jpg,A white and gold fancy toilet and stainless trash can.,7,1
66,./playground/data/mscoco/val2017/000000276284.jpg,A motorcycle is parked in a parking lot.,0,1
67,./playground/data/mscoco/val2017/000000103548.jpg,A herd of animals traveling down a country road surrounded by a lush green landscape.,31,0
68,./playground/data/mscoco/val2017/000000226408.jpg,Child laying down with arms extended in the air.,21,0
69,./playground/data/mscoco/val2017/000000558073.jpg,a cat sitting in a bathtub not looking amused,0,1
70,./playground/data/mscoco/val2017/000000102411.jpg,Two people riding a motorcycle to the beach.,0,1
71,./playground/data/mscoco/val2017/000000048924.jpg,A dirt bike parked near a tent in the woods.,0,1
72,./playground/data/mscoco/val2017/000000230008.jpg,a traffic motorcycle cop waits to give a ticket,0,1
73,./playground/data/mscoco/val2017/000000181666.jpg,a flock of goats and some men watching them,0,1
74,./playground/data/mscoco/val2017/000000543047.jpg,A scene of an apartment with a dining table and a couple of couches.,67,0
75,./playground/data/mscoco/val2017/000000565391.jpg,A jeep with a dead bird on the windshield.,1,1
76,./playground/data/mscoco/val2017/000000485802.jpg,An airplane leaving a trail in the sky.,0,1
77,./playground/data/mscoco/val2017/000000086220.jpg,A car and a public transit vehicle on a road.,1,1
78,./playground/data/mscoco/val2017/000000412894.jpg,Dozens of people walking around a metro area,113,0
79,./playground/data/mscoco/val2017/000000099054.jpg,some planes on an air port run way,7,1
80,./playground/data/mscoco/val2017/000000026564.jpg,An office desk with a row of books and a desktop computer and laptop computer on the desk.,0,1
81,./playground/data/mscoco/val2017/000000062025.jpg,An image of a hotel bathroom that is ugly.,0,1
82,./playground/data/mscoco/val2017/000000489091.jpg,A residential bathroom has a modern motel look with upgraded fixtures and accessories.,6,1
83,./playground/data/mscoco/val2017/000000155154.jpg,The bathroom is small and white and gray.,119,0
84,./playground/data/mscoco/val2017/000000071711.jpg,A large airplane museum with old war planes.,0,1
85,./playground/data/mscoco/val2017/000000152771.jpg,A bike in the middle of an empty parking lot next to trees,0,1
86,./playground/data/mscoco/val2017/000000437392.jpg,A toilet that is decorated like a pink stuffed animal,2,1
87,./playground/data/mscoco/val2017/000000571804.jpg,Ten porcelain pieces with floral patterns painted on them.,0,1
88,./playground/data/mscoco/val2017/000000078404.jpg,Three women sitting on a park bench next to each other.,0,1
89,./playground/data/mscoco/val2017/000000308631.jpg,People stand around an antique motorcycle in a grassy area.,1,1
90,./playground/data/mscoco/val2017/000000423971.jpg,A toilet with an illuminated seat in a restroom.,0,1
91,./playground/data/mscoco/val2017/000000304560.jpg,A black ct with green eyes sitting in the sun.,0,1
92,./playground/data/mscoco/val2017/000000221708.jpg,Lights shine on a wooden dining room table.,42,0
93,./playground/data/mscoco/val2017/000000026204.jpg,A street filled with lots of traffic next to tall buildings.,23,0
94,./playground/data/mscoco/val2017/000000085576.jpg,A commercial bathroom stall with empty toilet paper holders.,0,1
95,./playground/data/mscoco/val2017/000000153217.jpg,a black cat standing in front of a motorcycle,0,1
96,./playground/data/mscoco/val2017/000000270066.jpg,A motorcycle is parked near a puddle and a van.,234,0
97,./playground/data/mscoco/val2017/000000348708.jpg,The banana is laying next to an almost empty bowl.,1,1
98,./playground/data/mscoco/val2017/000000224051.jpg,A bike is perched on a concrete girder on the road.,0,1
99,./playground/data/mscoco/val2017/000000163746.jpg,A pretty young girl standing next to another pretty young girl on a beach.,0,1
100,./playground/data/mscoco/val2017/000000382122.jpg,A large church building with a massive clock tower.,7,1
101,./playground/data/mscoco/val2017/000000571857.jpg,"In the desert, two people are sitting next to a small propeller plane next to a tent with other planes in the background.",0,1
102,./playground/data/mscoco/val2017/000000209747.jpg,A gray and white kitten sitting in a bathroom sink.,0,1
103,./playground/data/mscoco/val2017/000000575205.jpg,A small plane is preparing to land on the strip,4,1
104,./playground/data/mscoco/val2017/000000017379.jpg,a flat screen TV embedded in a restroom mirror.,0,1
105,./playground/data/mscoco/val2017/000000055002.jpg,A metallic toilet sitting in a small bathroom.,26,0
106,./playground/data/mscoco/val2017/000000202228.jpg,The reflection of a man taking  a picture in a mirror,52,0
107,./playground/data/mscoco/val2017/000000194832.jpg,A television screen is displayed in an empty bus.,12,0
108,./playground/data/mscoco/val2017/000000147518.jpg,A bathroom that has magazine rack and small cabinet.,0,1
109,./playground/data/mscoco/val2017/000000003661.jpg,A bunch of bananas sitting on top of a wooden table.,0,1
110,./playground/data/mscoco/val2017/000000147740.jpg,A woman walking while carrying bananas on her hat.,0,1
111,./playground/data/mscoco/val2017/000000243204.jpg,A person is holding a spatula near slices of bread on a stove.,0,1
112,./playground/data/mscoco/val2017/000000368900.jpg,A cluttered room filled with a tv and a kitchen. ,2,1
113,./playground/data/mscoco/val2017/000000214192.jpg,two motocross racers in the middle of a race,0,1
114,./playground/data/mscoco/val2017/000000134096.jpg,A calico cat drinking from a sink faucet.,0,1
115,./playground/data/mscoco/val2017/000000441586.jpg,"MAN ON A CONTRAPTION, SURROUNDED BY A BICYCLE AND ANOTHER PERSON",33,0
116,./playground/data/mscoco/val2017/000000425221.jpg,A plane is flying away from the airport,3,1
117,./playground/data/mscoco/val2017/000000163155.jpg,A cat crouched over sitting by a brick wall.,2,1
118,./playground/data/mscoco/val2017/000000216497.jpg,Some chairs sit at an island near an open door. ,487,0
119,./playground/data/mscoco/val2017/000000515266.jpg,A white truck parked next to a white trailer.,3,1
120,./playground/data/mscoco/val2017/000000360564.jpg,A walk in shower next to a toilet with a wooden seat.,18,0
121,./playground/data/mscoco/val2017/000000090631.jpg,A colorful fighter jet flying through a blue sky.,5,1
