option,recall_images,target_image,hit,image_rank,is_top10
a bedroom is filled with lots of posters and a busy computer desk,"['unlabeled2017/000000361396.jpg', 'unlabeled2017/000000111351.jpg', 'unlabeled2017/000000324197.jpg', 'unlabeled2017/000000363941.jpg', 'unlabeled2017/000000019421.jpg', 'unlabeled2017/000000086322.jpg', 'unlabeled2017/000000127224.jpg', 'unlabeled2017/000000417773.jpg', 'unlabeled2017/000000472060.jpg', 'unlabeled2017/000000185565.jpg']",unlabeled2017/000000185565.jpg,True,3,1
a woman sits on a bench holding a guitar in her lap,"['unlabeled2017/000000284024.jpg', 'unlabeled2017/000000512949.jpg', 'unlabeled2017/000000187261.jpg', 'unlabeled2017/000000001484.jpg', 'unlabeled2017/000000249522.jpg', 'unlabeled2017/000000331660.jpg', 'unlabeled2017/000000537485.jpg', 'unlabeled2017/000000066450.jpg', 'unlabeled2017/000000084933.jpg', 'unlabeled2017/000000341063.jpg']",unlabeled2017/000000284024.jpg,True,0,1
a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,"['unlabeled2017/000000574189.jpg', 'unlabeled2017/000000043386.jpg', 'unlabeled2017/000000159755.jpg', 'unlabeled2017/000000376191.jpg', 'unlabeled2017/000000153696.jpg', 'unlabeled2017/000000529108.jpg', 'unlabeled2017/000000237778.jpg', 'unlabeled2017/000000438021.jpg', 'unlabeled2017/000000360681.jpg', 'unlabeled2017/000000158010.jpg']",unlabeled2017/000000574189.jpg,True,0,1
a woman feeding a large black and white bird,"['unlabeled2017/000000148816.jpg', 'unlabeled2017/000000053750.jpg', 'unlabeled2017/000000208670.jpg', 'unlabeled2017/000000099574.jpg', 'unlabeled2017/000000158822.jpg', 'unlabeled2017/000000523804.jpg', 'unlabeled2017/000000123705.jpg', 'unlabeled2017/000000295338.jpg', 'unlabeled2017/000000066522.jpg', 'unlabeled2017/000000254365.jpg']",unlabeled2017/000000148816.jpg,True,2,1
a couple sharing a knife to cut a large cake,"['unlabeled2017/000000179703.jpg', 'unlabeled2017/000000561076.jpg', 'unlabeled2017/000000331166.jpg', 'unlabeled2017/000000311662.jpg', 'unlabeled2017/000000180675.jpg', 'unlabeled2017/000000102519.jpg', 'unlabeled2017/000000416060.jpg', 'unlabeled2017/000000570042.jpg', 'unlabeled2017/000000008792.jpg', 'unlabeled2017/000000088394.jpg']",unlabeled2017/000000088394.jpg,True,101,0
a woman swinging at a tennis ball on the court,"['unlabeled2017/000000455584.jpg', 'unlabeled2017/000000529941.jpg', 'unlabeled2017/000000002363.jpg', 'unlabeled2017/000000416035.jpg', 'unlabeled2017/000000296621.jpg', 'unlabeled2017/000000313196.jpg', 'unlabeled2017/000000163963.jpg', 'unlabeled2017/000000143712.jpg', 'unlabeled2017/000000498144.jpg', 'unlabeled2017/000000255061.jpg']",unlabeled2017/000000255061.jpg,True,687,0
a jet plane flies over blue waters and a picturesque town on a sunny day,"['unlabeled2017/000000387067.jpg', 'unlabeled2017/000000041764.jpg', 'unlabeled2017/000000339519.jpg', 'unlabeled2017/000000036690.jpg', 'unlabeled2017/000000404857.jpg', 'unlabeled2017/000000033285.jpg', 'unlabeled2017/000000263127.jpg', 'unlabeled2017/000000284919.jpg', 'unlabeled2017/000000043132.jpg', 'unlabeled2017/000000233152.jpg']",unlabeled2017/000000036690.jpg,True,1,1
a woman playing tennis with the ball in mid-air in front of her and the racket raised with her arm across her body in front of a sponsored grandstand,"['unlabeled2017/000000143712.jpg', 'unlabeled2017/000000357817.jpg', 'unlabeled2017/000000340006.jpg', 'unlabeled2017/000000574240.jpg', 'unlabeled2017/000000193378.jpg', 'unlabeled2017/000000413875.jpg', 'unlabeled2017/000000489751.jpg', 'unlabeled2017/000000486624.jpg', 'unlabeled2017/000000529941.jpg', 'unlabeled2017/000000076113.jpg']",unlabeled2017/000000076113.jpg,True,397,0
plates and bowls of food are sitting on top of a table,"['unlabeled2017/000000257123.jpg', 'unlabeled2017/000000351275.jpg', 'unlabeled2017/000000423871.jpg', 'unlabeled2017/000000520151.jpg', 'unlabeled2017/000000430504.jpg', 'unlabeled2017/000000457785.jpg', 'unlabeled2017/000000291120.jpg', 'unlabeled2017/000000107856.jpg', 'unlabeled2017/000000073135.jpg', 'unlabeled2017/000000112857.jpg']",unlabeled2017/000000112857.jpg,True,1033,0
a toilet sitting in the middle of an abandoned building,"['unlabeled2017/000000581274.jpg', 'unlabeled2017/000000569365.jpg', 'unlabeled2017/000000340874.jpg', 'unlabeled2017/000000085206.jpg', 'unlabeled2017/000000246471.jpg', 'unlabeled2017/000000176682.jpg', 'unlabeled2017/000000085929.jpg', 'unlabeled2017/000000185263.jpg', 'unlabeled2017/000000541460.jpg', 'unlabeled2017/000000296319.jpg']",unlabeled2017/000000296319.jpg,True,0,1
